14.52	14.10
14.51	14.33
14.92	14.73
15.45	14.65
10.45	10.56
10.80	10.25
10.54	10.83
11.52	11.51
11.83	11.73
11.93	12.54
12.15	13.34
12.25	12.40
12.01	11.89
12.17	11.75
12.05	12.50
12.43	12.50
12.62	12.77
12.91	12.56
10.45	10.60
9.98	9.97
10.08	9.84
9.22	9.06
9.17	9.30
8.99	8.87
8.93	8.86
8.83	8.88
9.00	9.16
9.29	9.28
9.36	9.29
9.64	9.18
9.24	10.12
9.98	9.65
9.64	9.33
9.67	9.46
9.73	9.66
9.31	9.05
8.91	8.85
8.85	8.69
8.78	8.66
8.60	9.85
10.26	11.10
11.51	11.23
10.98	10.42
10.18	10.05
10.16	10.24
8.70	7.95
8.20	8.06
8.20	8.18
8.47	9.47
9.12	9.00
9.18	9.09
9.10	
